"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-04-25","KALIMANTAN TENGAH","0-5",637
"2021-04-26","KALIMANTAN TENGAH","0-5",637
"2021-04-27","KALIMANTAN TENGAH","0-5",638
"2021-04-30","KALIMANTAN TENGAH","0-5",643
"2021-05-01","KALIMANTAN TENGAH","0-5",649
"2021-05-02","KALIMANTAN TENGAH","0-5",653
"2021-05-04","KALIMANTAN TENGAH","0-5",657
"2021-05-06","KALIMANTAN TENGAH","0-5",663
"2021-05-08","KALIMANTAN TENGAH","0-5",665
"2021-05-10","KALIMANTAN TENGAH","0-5",668
"2021-05-13","KALIMANTAN TENGAH","0-5",678
"2021-05-14","KALIMANTAN TENGAH","0-5",679
"2021-05-16","KALIMANTAN TENGAH","0-5",684
"2021-05-19","KALIMANTAN TENGAH","0-5",688
"2021-05-25","KALIMANTAN TENGAH","0-5",706
"2021-05-26","KALIMANTAN TENGAH","0-5",709
"2021-05-29","KALIMANTAN TENGAH","0-5",716
"2021-05-31","KALIMANTAN TENGAH","0-5",719
"2021-06-02","KALIMANTAN TENGAH","0-5",727
"2021-06-10","KALIMANTAN TENGAH","0-5",755
"2021-06-12","KALIMANTAN TENGAH","0-5",763
"2021-06-13","KALIMANTAN TENGAH","0-5",766
"2021-03-24","KALIMANTAN TIMUR","0-5",1746
"2021-03-28","KALIMANTAN TIMUR","0-5",1782
"2021-04-07","KALIMANTAN TIMUR","0-5",1833
"2021-04-12","KALIMANTAN TIMUR","0-5",1860
"2021-04-15","KALIMANTAN TIMUR","0-5",1884
"2021-04-16","KALIMANTAN TIMUR","0-5",1890
"2021-04-17","KALIMANTAN TIMUR","0-5",1898
"2021-04-18","KALIMANTAN TIMUR","0-5",1901
"2021-04-19","KALIMANTAN TIMUR","0-5",1902
"2021-04-20","KALIMANTAN TIMUR","0-5",1904
"2021-04-21","KALIMANTAN TIMUR","0-5",1913
"2021-04-22","KALIMANTAN TIMUR","0-5",1920
"2021-04-23","KALIMANTAN TIMUR","0-5",1922
"2021-04-24","KALIMANTAN TIMUR","0-5",1927
"2021-04-25","KALIMANTAN TIMUR","0-5",1932
"2021-04-26","KALIMANTAN TIMUR","0-5",1934
"2021-04-27","KALIMANTAN TIMUR","0-5",1939
"2021-04-30","KALIMANTAN TIMUR","0-5",1951
"2021-05-01","KALIMANTAN TIMUR","0-5",1956
"2021-05-02","KALIMANTAN TIMUR","0-5",1957
"2021-05-04","KALIMANTAN TIMUR","0-5",1960
"2021-05-06","KALIMANTAN TIMUR","0-5",1971
"2021-05-08","KALIMANTAN TIMUR","0-5",1980
"2021-05-10","KALIMANTAN TIMUR","0-5",1983
"2021-05-13","KALIMANTAN TIMUR","0-5",1987
"2021-05-14","KALIMANTAN TIMUR","0-5",1987
"2021-05-16","KALIMANTAN TIMUR","0-5",1989
"2021-05-19","KALIMANTAN TIMUR","0-5",2001
"2021-05-25","KALIMANTAN TIMUR","0-5",2022
"2021-05-26","KALIMANTAN TIMUR","0-5",2028
"2021-05-29","KALIMANTAN TIMUR","0-5",2036
"2021-05-31","KALIMANTAN TIMUR","0-5",2045
"2021-06-02","KALIMANTAN TIMUR","0-5",2052
"2021-06-10","KALIMANTAN TIMUR","0-5",2077
"2021-06-12","KALIMANTAN TIMUR","0-5",2079
"2021-06-13","KALIMANTAN TIMUR","0-5",2080
"2021-03-24","KALIMANTAN UTARA","0-5",209
"2021-03-28","KALIMANTAN UTARA","0-5",217
"2021-04-07","KALIMANTAN UTARA","0-5",220
"2021-04-12","KALIMANTAN UTARA","0-5",222
"2021-04-15","KALIMANTAN UTARA","0-5",224
"2021-04-16","KALIMANTAN UTARA","0-5",224
"2021-04-17","KALIMANTAN UTARA","0-5",224
"2021-04-18","KALIMANTAN UTARA","0-5",227
"2021-04-19","KALIMANTAN UTARA","0-5",227
"2021-04-20","KALIMANTAN UTARA","0-5",227
"2021-04-21","KALIMANTAN UTARA","0-5",228
"2021-04-22","KALIMANTAN UTARA","0-5",228
"2021-04-23","KALIMANTAN UTARA","0-5",229
"2021-04-24","KALIMANTAN UTARA","0-5",229
"2021-04-25","KALIMANTAN UTARA","0-5",229
"2021-04-26","KALIMANTAN UTARA","0-5",229
"2021-04-27","KALIMANTAN UTARA","0-5",229
"2021-04-30","KALIMANTAN UTARA","0-5",231
"2021-05-01","KALIMANTAN UTARA","0-5",231
